name,url,description,number_of_members,location,notable_events,recurring_events,persons_of_interest,associated_articles,image_carousel
Communauté du Ventoux – Les Braves,https://cartofaf.streetpress.com/liste/communaute-du-ventoux-les-braves/,"La communauté du Ventoux fait partie des Braves. Un mouvement suprémaciste fondé en 2016 par Daniel Conversano, d’abord sous le nom « Suavelos » – « Bonjour » en gaulois. L’objectif est la promotion d’un mode de vie alternatif, basé sur une logique communautariste pour faire face « au grand remplacement » et au « cosmopolitisme ». Les Braves ne sont pas un groupe militant, mais une communauté qui rassemble les individus selon deux critères : être blanc/blanche et adhérer aux théories racialistes développées de Daniel Conversano.

Aujourd’hui, les Braves peuvent compter sur un réseau de militants impliqués quotidiennement dans des communautés dispersées sur le terrain, en Bourgogne Franche-Comté, Provence, Pays de la Loire ou en Île-de-France mais également en Europe. Le mouvement a été longuement décrits par les journalistes Delphine-Marion Boulle et Valentin Pacaud dans l’ouvrage « Au nom de la race-Bienvenue chez les suprémacistes français ».","Le mouvement général Les Braves dispose de quelques 3.000 sympathisants et près de 1.000 membres, répartis en communautés régionales. Quant à la communauté du Ventoux, elle ne compte qu’une centaine d’abonnés sur leur canal Telegram.",Avignon,,,"Daniel Conversano — Un influenceur raciste qui le revendique. S’il est le chef de multiples communautés à travers toute la France, lui-même s’est expatrié en Roumanie car l’Hexagone serait « bougnoulisée » et souhaite que les militants nationalistes le suivent en Europe de l’Est.","Daniel Conversano, l’influenceur très très raciste qui adore Zemmour (https://www.streetpress.com/sujet/1636994123-daniel-conversano-influenceur-raciste-adore-zemmour-neonazi-extreme-droite-supremaciste-blanc-Dieudonne-Soral)|Communautarisme : quand l’extrême droite s’organise pour vivre entre blancs (https://www.streetpress.com/sujet/1656954223-communautarisme-extreme-droite-organise-vivre-entre-blancs-separatistes-secession)",https://cartofaf.streetpress.com/images/groups/communaute-du-ventoux-les-braves/logo.webp|https://cartofaf.streetpress.com/images/groups/communaute-du-ventoux-les-braves/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/communaute-du-ventoux-les-braves/news/streetpress.webp
Défends Marseille,https://cartofaf.streetpress.com/liste/defends-marseille/,"Défends Marseille a été créé durant l’été 2022, avant de se lancer officiellement à la fin de la même année. L’organisation qui se revendique identitaire est en réalité le groupuscule « jeunesse » de « Marseille d’abord », parti local présidé par le sénateur Reconquête des Bouches-du-Rhône Stéphane Ravier. Le groupuscule voit large, et rassemble des individus qui militent également d’autres organisations radicales de la région, que ce soit chez les néofascistes de Tenesoun, les féministes identitaires de Némésis, les royalistes de l’Action Française ou les identitaires de la Cocarde étudiante. Ils pratiquent aussi des sports de combat avec la section marseillaise d’Active Club, une organisation transnationale suprémaciste et néonazie. L’une des figures du groupuscule, Nina Azamberti, a d’ailleurs été l’une des assistantes parlementaires du député Rassemblement National Romain Baubry.

Défends Marseille se réunit dans la permanence de « Marseille d’abord », dans le 12ème arrondissement marseillais, tout comme le mouvement féminin affilié à Stéphane Ravier Héra Massilia.",Une dizaine,Marseille,"En juin 2023, le groupuscule déploie une banderole hostile aux personnes migrantes sur la façade d’un immeuble surplombant l’esplanade du J4 à Marseille, où se tient un concert caritatif en soutien à l’ONG SOS Méditerranée. Les cinq militants présents reprennent alors la phrase lancée par l’ex-député RN Grégoire de Fournas quelques semaines plus tôt : « Qu’ils retournent en Afrique. » Ils sont placés en garde-à-vue et doivent comparaître le 26 novembre 2024.",,Aurélien Macé (dit « Barkovish »)|Mayeul Michon du Marais|Marc Solina|Nina Azamberti — Ancienne assistante parlementaire du député RN Romain Baubry,"Stéphane Ravier, le sénateur d’extrême droite qui aimait les groupuscules (https://www.liberation.fr/politique/stephane-ravier-le-senateur-dextreme-droite-qui-aimait-les-groupuscules-20231201_V52EITKD6VF55DFQMCTXL622QA/)|T-shirt nazi, stickers racistes et tag anti-LGBT : dans les placards des jeunes avec Ravier (https://marsactu.fr/t-shirt-nazi-stickers-racistes-et-tag-anti-lgbt-dans-les-placards-des-jeunes-avec-ravier/)",https://cartofaf.streetpress.com/images/groups/defends-marseille/logo.webp|https://cartofaf.streetpress.com/images/groups/defends-marseille/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/defends-marseille/news/liberation.webp|https://cartofaf.streetpress.com/images/groups/defends-marseille/news/marsactu.webp
Des Tours et des Lys,https://cartofaf.streetpress.com/liste/des-tours-et-des-lys/,"Fondé en 2018, des Tours et des Lys se développe à partir de 2019. Le groupuscule néofasciste se rend tous les ans à la manifestation néofasciste du C9M, et effectue souvent des actions d’agit-prop, parfois en compagnie de militants d’Animus Fortis, de l’Alvarium, ou encore du Mouvement chouan. Des Tours et des Lys entretient également des liens avec les hooligans du Tours FC connus pour leurs positions suprémacistes et néonazies. Certains membres des Tours et des Lys sont également membres de ce groupe de hooligans.

Récemment, Alexandre Boumedienne a représenté le C9M lors d’interventions médiatiques et est devenu porte-parole du Mouvement chouan sous le pseudo d’Alexandre Boumi.

Des Tours et des Lys accueille notamment en son sein une fratrie dont le patronyme est bien connu à l’extrême droite, la fratrie d’Herbais de Thun. Trois de leurs activistes sont les neveux de Frédéric Châtillon – ancien chef du Gud, ami intime de Marine Le Pen et ancien beau-père de Jordan Bardella – et de Marie d’Herbais de Thun – ancienne responsable FN et ex-présentatrice du « Journal de bord de Jean-Marie Le Pen ». Le 11 mai, les deux sœurs tenaient la banderole de tête de la manifestation du C9M 2024. Des Tours et des Lys entretient également des liens avec les sections locales du RN, de la Cocarde et de Reconquête.",Entre 20 et 30,Tours,,"Ils organisent depuis 2023 une procession aux flambeaux annuelle autour de la Saint-Martin, qui rassemble des militants de tout l’Ouest de la France (Rennes, Angers, etc). Ce serait une reprise d’une marche organisée en 2013 par Vox Populi – ancien groupuscule d’extrême droite local – et son leader (décédé) Pierre-Louis Mériguet, longtemps chargé de com au FN.",Alexandre Boumedienne|Lucas Maupin|Thomas Bonnin|Andréa Deriot — Également cheffe du Rassemblement national de la jeunesse (RNJ) local,"À Tours, le RN fraye avec les néofascistes (https://www.mediapart.fr/journal/politique/290524/tours-le-rn-fraye-avec-les-neofascistes)",https://cartofaf.streetpress.com/images/groups/des-tours-et-des-lys/logo.webp|https://cartofaf.streetpress.com/images/groups/des-tours-et-des-lys/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/des-tours-et-des-lys/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/des-tours-et-des-lys/photos/photo-3.webp|https://cartofaf.streetpress.com/images/groups/des-tours-et-des-lys/news/mediapart.webp
Division aryenne française,https://cartofaf.streetpress.com/liste/division-aryenne-francaise/,"Canal Telegram néonazi ayant gagné en popularité après la fermeture par les autorités des canaux FRDeter en 2023, la Division aryenne française s’est spécialisée dans le fichage et le doxxing de militants de gauche via un canal sobrement intitulé « Balance ton antifa » où sont listés noms, photos, adresses, numéros de téléphone, etc… de centaines de personnes. Récemment, certains membres avaient pris l’habitude de tendre des guet-apens à de supposés pédophiles pour les passer à tabac et diffuser les vidéos sur Telegram. En juillet 2024, l’administrateur de la DAF a été condamné à deux ans de prison ferme pour avoir planifié des actions violentes lors des Jeux olympiques contre des personnalités politiques et des personnes issues de l’immigration, et d’avoir poussé ses abonnés à faire de même.",Ils sont plusieurs centaines sur les différents canaux Telegram mais très peu sont réellement actifs.,Internet,,,Théo M. (alias Panzer) — Administrateur du canal Telegram,"Sur Telegram, des dizaines de militants et parlementaires menacés et doxés (https://www.streetpress.com/sujet/1687971197-telegram-militants-parlementaires-menaces-doxxing-harcelement)|« Division aryenne française » : ces néonazis qui planifiaient agressions et attentats contre la « plèbe gauchiste » (https://www.liberation.fr/politique/division-aryenne-francaise-ces-neonazis-qui-planifiaient-agressions-et-attentats-contre-la-plebe-gauchiste-20240717_ZMHYUYY3HNBZBENXECY5WEOGOM/)|« J’aime Adolf Hitler, je ne vais pas me cacher » : au tribunal, un néonazi de 19 ans qui menaçait les JO part en prison (https://www.marianne.net/societe/police-et-justice/jaime-adolf-hitler-je-ne-vais-pas-me-cacher-au-tribunal-un-neonazi-de-19-ans-qui-menacait-les-jo-part-en-prison)|Panzer incarcéré, focus sur le numéro deux de la Division aryenne française (https://reflets.info/articles/panzer-incarcere-focus-sur-le-numero-deux-de-la-division-aryenne-francaise)",https://cartofaf.streetpress.com/images/groups/division-aryenne-francaise/logo.webp|https://cartofaf.streetpress.com/images/groups/division-aryenne-francaise/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/division-aryenne-francaise/news/liberation.webp|https://cartofaf.streetpress.com/images/groups/division-aryenne-francaise/news/marianne.webp|https://cartofaf.streetpress.com/images/groups/division-aryenne-francaise/news/reflets.webp
Division Languedoc,https://cartofaf.streetpress.com/liste/division-languedoc/,"Si une page Instagram porte ce nom et parle d’une « communauté d’amis nationalistes », il n'existe aucune trace réelle d’existence de ce groupuscule, qui revendique aussi bien une ligne royaliste qu’une ligne identitaire.",Mende,,,,NOMBRE DE MEMBRES — Inconnu,,https://cartofaf.streetpress.com/images/groups/division-languedoc/logo.webp
Edelweiss pays-de-Savoie,https://cartofaf.streetpress.com/liste/edelweiss-pays-de-savoie/,"Edelweiss est un groupuscule nationaliste-révolutionnaire à tendance néonazi apparu en 2013 à Chambéry et dans ses alentours, son nom faisant référence à la « fleur préférée » d’Adolf Hitler. Le groupuscule est né suite à la dissolution des Jeunesses nationalistes d’Alexandre Gabriac la même année. Suprémacistes blancs et nostalgiques de Pétain, les militants d’Edelweiss ont participé à plusieurs actions violentes, dont des agressions, dans la ville.


Avant même la dissolution du Bastion en avril 2019 pour « provocation à la discrimination, à la haine ou à la violence », Edelweiss pays de Savoie se réactive et reprend la même formule que le Bastion social, toujours accompagnée de violences.

Inactif depuis quelque temps, Edelweiss a passé le flambeau à Valyor, qui ressort régulièrement une banderole confectionnée par Edelweiss en 2021.",Une vingtaine,Chambéry,"Le 20 octobre 2017, la Fédération anarchiste de Chambéry organise un concert de rentrée. Une douzaine de militants d’extrême droite, dont des membres de la section locale du Bastion social-Edelweiss, attaquent avec des armes la soirée et blessent des spectateurs.",,"Mathias Jacquet — Ancien leader, il est désormais parti dans un groupe de moto|Franck Cuter|Florian Delagrande|Maxime Lombard|Bastien C.","Soupes populaires, ratonnades et saluts nazis, bienvenue au Bastion social (https://www.streetpress.com/sujet/1545152622-soupes-populaires-ratonnades-saluts-nazis-bienvenue-bastion-social)|Chambéry : Dissolution du Bastion social ... et réactivation d’Edelweiss (https://lahorde.info/chambery-dissolution-du-bastion-social-et-reactivation-dedelweiss)|4 militants du Bastion social Chambéry condamnés pour une agression (https://www.streetpress.com/sujet/1567439252-quatre-militants-bastion-social-chambery-condamnes-pour-agression-extreme-droite)|Entailles au couteau et saluts nazis : à Chambéry, l’extrême droite fait son lit (https://www.marianne.net/societe/entailles-au-couteau-et-saluts-nazis-chambery-l-extreme-droite-fait-son-lit)|À Annecy, un militant d’extrême droite condamné (https://www.streetpress.com/sujet/1695393648-annecy-militant-radicaux-extreme-droite-condamne-manifestation)",https://cartofaf.streetpress.com/images/groups/edelweiss-pays-de-savoie/logo.webp|https://cartofaf.streetpress.com/images/groups/edelweiss-pays-de-savoie/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/edelweiss-pays-de-savoie/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/edelweiss-pays-de-savoie/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/edelweiss-pays-de-savoie/news/lahorde.webp|https://cartofaf.streetpress.com/images/groups/edelweiss-pays-de-savoie/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/edelweiss-pays-de-savoie/news/marianne.webp|https://cartofaf.streetpress.com/images/groups/edelweiss-pays-de-savoie/news/streetpress.webp
Egalité & Réconciliation,https://cartofaf.streetpress.com/liste/egalite-reconciliation/,"Association créée en 2007 autour d’Alain Soral, à l’époque membre du Front National. Parmi les cofondateurs, on trouve plusieurs anciens cadres du Gud proches de Marine Le Pen. E&R a, au départ, la volonté de ramener vers « le nationalisme » des jeunes des quartiers populaires notamment issus de l’immigration, ou de gauche. Elle prône un « front de la foi », sorte d’alliance entre musulmans et catholique contre les « élites mondialistes » juives, féministes et LGBT+. Son antisémitisme virulent a valu à plusieurs personnalités de l’organisation des condamnations.

E&R s’est, à partir de 2009, éloignée du FN pour s’autonomiser. L’association, très proche de l’humoriste Dieudonné, est au centre d’une galaxie antisémite et conspirationniste qu’ils nomment « la dissidence ». Ils sont très actifs sur internet – E&R a longtemps été le site politique le plus visité de France – et ont monté une galaxie de commerces en lignes rentables. Ils organisent régulièrement des conférences qui réunissent jusqu’à plusieurs centaines de personnes.

Après une période de déclin entre 2016 et 2020, ils regagnent de l’influence à la faveur de la crise du Covid.","4 à 5.000 membres entre 2010 et 2015, sans doute moins aujourd’hui.","Internet, Marseille, Périgueux, Toulouse, Grenoble, Nantes, Chalons-en-Champagne, Metz, Thionville, Lille, Perpignan, Colmar, Rouen, Amiens, Paris","En 2009, Alain Soral est candidat aux élections européennes sur la liste « antisionniste » de Dieudonné. Une campagne financée par la république islamique d’Iran.",,"Alain Soral — Passé par le FN, il est la figure principale de l’association. Ses vidéos enregistrées sur un canapé rouge totalisent des millions de vues. Volontiers virulent et ordurier, il a été condamné à de nombreuses reprises pour incitation à la haine.|David Rachline — Maire RN de Fréjus, il a été militant au sein de Egalité & Réconciliation|Pierre de Brague|Youssef Hindi|Lucien Cerise|Francis Cousin|Michel Drac","David Rachline, un ancien proche de Soral nommé directeur de campagne de Marine Le Pen (https://www.streetpress.com/sujet/1473936987-david-rachline-proche-soral-marine-le-pen)",https://cartofaf.streetpress.com/images/groups/egalite-reconciliation/logo.webp|https://cartofaf.streetpress.com/images/groups/egalite-reconciliation/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/egalite-reconciliation/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/egalite-reconciliation/news/streetpress.webp
Equipe communautaire Paris – Les Braves,https://cartofaf.streetpress.com/liste/equipe-communautaire-paris-les-braves/,"L’équipe communautaire Paris fait partie des Braves. Un mouvement suprémaciste fondé en 2016 par Daniel Conversano, d’abord sous le nom « Suavelos » – « Bonjour » en gaulois. L’objectif est la promotion d’un mode de vie alternatif, basé sur une logique communautariste pour faire face « au grand remplacement » et au « cosmopolitisme ». Les Braves ne sont pas un groupe militant, mais une communauté qui rassemble les individus selon deux critères : être blanc/blanche et adhérer aux théories racialistes développées de Daniel Conversano.

Aujourd’hui, les Braves peuvent compter sur un réseau de militants impliqués quotidiennement dans des communautés dispersées sur le terrain, en Bourgogne Franche-Comté, Provence, Pays de la Loire ou en Île-de-France mais également en Europe. Le mouvement a été longuement décrits par les journalistes Delphine-Marion Boulle et Valentin Pacaud dans l’ouvrage « Au nom de la race-Bienvenue chez les suprémacistes français ».","Le mouvement général Les Braves dispose de quelques 3.000 sympathisants et près de 1.000 membres, répartis en communautés régionales. L'ECP, elle, dispose de quelques 300 sympathisants sur sa chaîne Telegram.",Paris,,,"Daniel Conversano — Un influenceur raciste qui le revendique. S’il est le chef de multiples communautés à travers toute la France, lui-même s’est expatrié en Roumanie car l’Hexagone serait « bougnoulisée » et souhaite que les militants nationalistes le suivent en Europe de l’Est.","Daniel Conversano, l’influenceur très très raciste qui adore Zemmour (https://www.streetpress.com/sujet/1636994123-daniel-conversano-influenceur-raciste-adore-zemmour-neonazi-extreme-droite-supremaciste-blanc-Dieudonne-Soral)|Communautarisme : quand l’extrême droite s’organise pour vivre entre blancs (https://www.streetpress.com/sujet/1656954223-communautarisme-extreme-droite-organise-vivre-entre-blancs-separatistes-secession)",https://cartofaf.streetpress.com/images/groups/equipe-communautaire-paris-les-braves/logo.webp|https://cartofaf.streetpress.com/images/groups/equipe-communautaire-paris-les-braves/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/equipe-communautaire-paris-les-braves/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/equipe-communautaire-paris-les-braves/news/streetpress.webp
Erminig Roazhon,https://cartofaf.streetpress.com/liste/erminig-roazhon/,"Affublé du même nom que la mascotte du Stade Rennais, le groupe breton Erminig Roazhon aime faire des Tiktoks et des balades en forêt. Cette « communauté sportive enracinée » a organisé un fest-noz en avril 2024 en partenariat avec les cathos-intégristes d’Academia Christiana.

Ils ont disparu en 2025.",Rennes,,,,NOMBRE DE MEMBRES — Ils sont une dizaine.,,https://cartofaf.streetpress.com/images/groups/erminig-roazhon/logo.webp
Esprit de corps,https://cartofaf.streetpress.com/liste/esprit-de-corps/,"Esprit de corps est une association catholique intégriste créée en 2022. L’organisation, dont le slogan est « Exister, Honorer, Servir », a pour objectif de rassembler « des Français de tout bord autour de leur héritage commun » en se formant intellectuellement et physiquement, en restaurant du patrimoine ou en « cultivant la camaraderie ». Chaque mois, Esprit de corps organise des conférences en région lyonnaise, et des week-ends, uniquement ouverts aux hommes, sont aussi organisés durant l’année.

Si l’association se revendique chrétienne et apolitique, ses positions publiques et les diverses références mobilisées dans sa communication tendent vers l’extrême droite. Fondée sur le constat d’une perte d’identité et du délitement de notre société accélérée par le « progressisme immoral et contre-nature », Esprit de corps s’inscrit dans la droite lignée d’organisations catholiques traditionalistes comme Sophia Polis ou Academia Christiana. Et l’association ne s’en cache pas, comme en témoigne l’invitation de l’abbé Matthieu Raffray, prêtre intégriste star des réseaux d’extrême droite qui n’hésite pas à appeler à prendre les armes pour partir en croisade.","Lyon, Laval",,,"Ils organisent des soirées mensuelles en région lyonnaise ainsi que des week-ends de formation, ouverts seulement aux hommes.",NOMBRE DE MEMBRES — Entre 10 et 20,,https://cartofaf.streetpress.com/images/groups/esprit-de-corps/logo.webp
Forez front,https://cartofaf.streetpress.com/liste/forez-front/,"Un groupuscule néofasciste de la Loire, le Forez front entretient depuis 2024 des liens avec leurs voisins néonazis de Clermont non-conforme et se rend régulièrement à leurs conférences. Ses militants se sont aussi rendus à l’édition 2025 du C9M.",Montbrison,,,"Ils participent chaque année à la manifestation néofasciste du Comité du 9 Mai à Paris, qui commémore la mort d’un militant de leur mouvance.",NOMBRE DE MEMBRES — Ils sont moins d’une dizaine,,https://cartofaf.streetpress.com/images/groups/forez-front/logo.webp|https://cartofaf.streetpress.com/images/groups/forez-front/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/forez-front/photos/photo-2.webp
Fraternité Comtoise,https://cartofaf.streetpress.com/liste/fraternite-comtoise/,"La Fraternité Comtoise est apparue dans le courant de l’année 2023. Ce mouvement de « jeunesse identitaire » lutte pour la « sauvegarde » de la Franche-Comté, en mettant sa culture et son histoire en avant, tandis qu’il s’oppose à l’immigration et défend les peuples européens, c’est-à-dire pour eux les blancs. Le groupuscule semble cependant absent du terrain.",Besançon,,,,NOMBRE DE MEMBRES — Moins de 10,,https://cartofaf.streetpress.com/images/groups/fraternite-comtoise/logo.webp
Fraternité Saint-Pie X,https://cartofaf.streetpress.com/liste/fraternite-saint-pie-x/,"Ultra-conservatrice, la Fraternité Sacerdotale Saint-Pie X est implantée aux quatre coins de la France, au travers d’églises, de chapelles ou de monastères. Mais aussi dans une cinquantaine d’établissements scolaires hors contrat, où les manuels scolaires sont bourrés de révisionnisme, chantent les louanges du régime de Vichy et des régimes fascistes. L’organisation rejete le « monde moderne » et a même été un temps excommuniée par le Vatican. Depuis 2017, l’organisme gouvernemental Miviludes les considère comme un phénomène sectaire.

Réactionnaire, homophobe, anti-républicaine, cette société catholique intégriste est liée à plusieurs mouvements d’extrême droite, dont Civitas. De 2002 à 2014, le supérieur général du district français de la Fraternité n’est autre que Régis de Caqueray, oncle de Marc de Caqueray-Valmenier, leader du Gud Paris et figure importante de la mouvance nationaliste-révolutionnaire en France. À Paris, l’église Saint-Nicolas du Chardonnet, liée à la Fraternité, est le lieu de culte privilégié par l’extrême droite radicale de la capitale.

La Fraternité Saint-Pie X est accusée d’omerta sur les violences sexuelles, et notamment la pédocriminalité en son sein, mais aussi de pressions financières sur ses fidèles et de violences faites aux femmes, entre violences conjugales, séquestrations et « exorcismes sauvages ».","Marlieux, Brout-Vernet, Montgardin, Nice, Carcassonne, Marseille, Caen, Bourges, Flavigny-sur-Ozerain, Bergerac, Illiers-l’Evêque, Chartres, Brest, Toulouse, Bruges, Saint-Macaire, Fabrègues, Saint-Père Marc en Poulet, Montierchaume, Tours, Meylan, Unieux, Nantes, Chateau-Thebaud, Saint-Jean de la Ruelle, Angers, Bellevigne-en-Layon, Val-de-Vesle, Beaumont-Pied-de-Bœuf, Nancy, Vannes, Éguelshardt, Croix, Perpignan, Strasbourg, Mulhouse, Lyon, Suresnes, Mantes-la-Jolie, Toulon, Avignon, Camblain l’Abbé, Plauzat, Etcharry, Bailly, Chantonnay",,"Le 18 février 2024, à Nantes, plus de 500 fidèles de la Fraternité défilent dans les rues en chantant des prières religieuses.",,NOMBRE DE MEMBRES — Ils ont environ 15.000 fidèles dans toute la France,,https://cartofaf.streetpress.com/images/groups/fraternite-saint-pie-x/logo.webp|https://cartofaf.streetpress.com/images/groups/fraternite-saint-pie-x/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/fraternite-saint-pie-x/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/fraternite-saint-pie-x/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/fraternite-saint-pie-x/news/letemps.webp|https://cartofaf.streetpress.com/images/groups/fraternite-saint-pie-x/news/france3.webp
Furie française,https://cartofaf.streetpress.com/liste/furie-francaise/,"Furie française est un groupuscule identitaire fondé en septembre 2021 à Toulouse, d’abord sous le nom « La Meute ». C’est une resucée de la section locale de Génération identitaire, mouvement dissous en mars 2021 par le gouvernement pour ses discours haineux incitant à la discrimination ou à la violence envers les individus en raison de leur origine, de leur ethnie ou de leur religion. Furie française a repris les mêmes méthodes – actions d’agit-prop, entraînements aux sports de combat et conférences –, les mêmes idées – opposition à l’immigration et au « wokisme » – et plus ou moins les mêmes militants que l’organisation dissoute.

Le groupe a notamment été fondé par un militant actif de la section locale de Génération identitaire, Enguerrand Pacotte, fils de Christophe Pacotte, cofondateur du Bloc identitaire autour de Bordeaux à la fin des années 2010 et ancien du Front national.

Furie française entretient des liens avec le reste de la mouvance identitaire, mais surtout avec leurs camarades albigeois de Patria albiges, situés non loin de Toulouse. Une connexion forte : les deux groupuscules ont organisé des conférences ensemble, ont fêté leur rentrée militante 2023 lors d’un week-end commun, et les militants des deux bandes font des allers-retours entre les villes pour s’entraider. Deux des frères d’Enguerrand Pacotte, Géraud et Foucaud, étaient d’ailleurs poursuivis pour « provocation à la haine raciale » devant le tribunal d’Albi début octobre 2024.

Certains membres de Furie française sont par ailleurs actifs au sein d’Argos, mouvement qui s’est monté suite à la dissolution de Génération identitaire, pour rassembler la mouvance identitaire française.",Une vingtaine,Toulouse,"Le 11 septembre 2021, plusieurs militants d’extrême droite, dont des membres de La Meute/Furie française – à commencer par le leader Enguerrand Pacotte –, attaquent un cortège de gauche lors d’une manifestation contre le pass sanitaire à Toulouse.",,Enguerrand Pacotte,Les identitaires reprennent de la vigueur à Toulouse (https://www.mediacites.fr/enquete/toulouse/2023/12/18/les-identitaires-reprennent-de-la-vigueur-a-toulouse/)|Qu’est-ce que le groupuscule Furie française à Toulouse ? (https://www.francebleu.fr/infos/politique/qui-est-le-groupuscule-furie-francaise-a-toulouse-8328681),https://cartofaf.streetpress.com/images/groups/furie-francaise/logo.webp|https://cartofaf.streetpress.com/images/groups/furie-francaise/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/furie-francaise/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/furie-francaise/news/mediacites.webp|https://cartofaf.streetpress.com/images/groups/furie-francaise/news/francebleu.webp
Gardiens de mémoire,https://cartofaf.streetpress.com/liste/gardiens-de-memoire/,"Gardiens de Mémoire est une association-écran déposée en octobre 2024 pour l’organisation d’une manifestation raciste et anti-immigration sous couvert de dénonciation d’un supposé « laxisme judiciaire ». Derrière l’association se trouvent officiellement deux étudiantes qui fraient parfois avec les milieux néofascistes, mais aussi de la Marche pour la Vie et de SOS Chrétiens d’Orient. Lors de cette manifestation s’étaient rassemblés tout ce que Paris compte de groupuscules d’extrême droite.

Gardiens de Mémoire, tout comme le collectif Justice et Sécurité et le collectif Justice pour les Nôtres, tente de construire un mouvement raciste au travers de l’instrumentalisation de faits divers. Ces groupuscules s’inspirent notamment de mouvements similaires ayant mené à des émeutes et des lynchages racistes en Grande-Bretagne.",Ils sont une dizaine,"Paris, Internet",L’association a organisé le 2 novembre 2024 une manifestation au cours de laquelle ont été scandés de nombreux slogans racistes.,,Eloyse Gain|Domitille Casarotto,Extrême droite : La Vendée connection derrière la manif des « martyrs de l’immigration » (https://www.blast-info.fr/articles/2024/extreme-droite-la-vendee-connection-derriere-la-manif-des-martyrs-de-limmigration-0YQU6zBzR1WGtsttgHoqLA)|Petite dissection de l’association « Gardiens de la mémoire française » (https://lahorde.info/Petite-dissection-de-l-association-Gardiens-de-la-memoire-francaise),https://cartofaf.streetpress.com/images/groups/gardiens-de-memoire/logo.webp|https://cartofaf.streetpress.com/images/groups/gardiens-de-memoire/news/blast.webp|https://cartofaf.streetpress.com/images/groups/gardiens-de-memoire/news/lahorde.webp
Gargouilles Strasbourg,https://cartofaf.streetpress.com/liste/gargouilles-strasbourg/,"Les Gargouilles se sont montées dans le courant de l’année 2022, sur un modèle similaire à celui des Zouaves. Il s’agit plus d’un prête-nom pour néofascistes et néonazis locaux en recherche d’actions de rue que d’une véritable organisation structurée. Cependant, ils s’en sont pris à plusieurs militants identifiés comme de gauche et antifascistes, et affichent régulièrement leur antisémitisme, soutenant par exemple publiquement l’auteur antisémite et négationniste Vincent Reynouard.",Strasbourg,,"Le 23 mai 2024, un commando d’une dizaine d’individus armés de gazeuses, de chaînes et de gants coqués a attaqué une soirée en soutien à la Palestine sur le campus central de l’Université de Strasbourg, avant d’être repoussé.",,NOMBRE DE MEMBRES — Une dizaine,,https://cartofaf.streetpress.com/images/groups/gargouilles-strasbourg/logo.webp|https://cartofaf.streetpress.com/images/groups/gargouilles-strasbourg/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/gargouilles-strasbourg/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/gargouilles-strasbourg/news/rue89strasbourg.webp
