name,location,size,family_names,family_descriptions
Arlé,ARLES,5-10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
ASLA,INTERNET,<10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Auctorum,VERSAILLES,20-30,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Aurée,"MONTARGIS, LA ROCHE-SUR-YON, NIORT, BORDEAUX",≈10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Aurelianorum corda,ORLÉANS,≈10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Aurora Lorraine,"METZ, NANCY",≈15,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Baroudeurs,PARIS,20-30,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Berry nationaliste,CHÂTEAUROUX,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Bloc Montpelliérain,MONTPELLIER,10-20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Bordeaux royaliste – Action légitimiste,BORDEAUX,<100,Monarchiste,"Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Bourg-en-Bresse nationaliste,BOURG-EN-BRESSE,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Bourgoin defenders,BOURGOIN-JALLIEU,<10,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Brigade Puaud,ORLÉANS,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Brizak,NANCY,≈15,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
C18,CHERBOURG,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Café des Libertés,"FORCALQUIER, INTERNET",20-30,Confusionniste,"Lʼextrême droite, pour ratisser au plus large, sʼempare parfois de thématiques voire de doctrines issus d’autres champs politiques. La devise initiale d’Egalité & Réconciliation, le groupuscule d’Alain Soral, illustre parfaitement ce bricolage idéologique : « La gauche du travail & la droite des valeurs. » Nous avons choisi de réunir ces organisations aux idéologies composites au sein d’une même catégorie, bien quʼil n’y ait pas d’unité doctrinale forte entre elles."
Camside Tolosa,TOULOUSE,15-30,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Cercle d’action légitimiste,"INTERNET, PARIS, REIMS",<100,Monarchiste,"Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Cervus Picardae,SENLIS,<5,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Civitas,"QUIMPER, PARIS",>500,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
CLAN,INTERNET,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Clermont non-conforme,CLERMONT-FERRAND,30-40,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Cocarde,NATIONAL,200-300,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Collectif Eros,"PARIS, NICE",5-15,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Collectif justice et sécurité,INTERNET,10-20,Confusionniste|Identitaire,"Lʼextrême droite, pour ratisser au plus large, sʼempare parfois de thématiques voire de doctrines issus d’autres champs politiques. La devise initiale d’Egalité & Réconciliation, le groupuscule d’Alain Soral, illustre parfaitement ce bricolage idéologique : « La gauche du travail & la droite des valeurs. » Nous avons choisi de réunir ces organisations aux idéologies composites au sein d’une même catégorie, bien quʼil n’y ait pas d’unité doctrinale forte entre elles.|Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Columna,VILLEFRANCHE-SUR-SAÔNE,≈10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Communauté Atlante – Les Braves,"NANTES, LA ROCHE-SUR-YON",≈1.000,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Communauté du Ventoux – Les Braves,AVIGNON,≈1.000,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Défends Marseille,MARSEILLE,≈10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Des Tours et des Lys,TOURS,20-30,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Division aryenne française,INTERNET,<30,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Division Languedoc,MENDE,?,Nationaliste|Catholique|Identitaire|Monarchiste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue.|Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières.|Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Edelweiss pays-de-Savoie,CHAMBÉRY,≈20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Egalité & Réconciliation,NATIONAL,<4.000,Confusionniste,"Lʼextrême droite, pour ratisser au plus large, sʼempare parfois de thématiques voire de doctrines issus d’autres champs politiques. La devise initiale d’Egalité & Réconciliation, le groupuscule d’Alain Soral, illustre parfaitement ce bricolage idéologique : « La gauche du travail & la droite des valeurs. » Nous avons choisi de réunir ces organisations aux idéologies composites au sein d’une même catégorie, bien quʼil n’y ait pas d’unité doctrinale forte entre elles."
Equipe communautaire Paris – Les Braves,PARIS,≈1.000,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Erminig Roazhon,RENNES,<10,Identitaire|Catholique,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières.|Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Esprit de corps,"LYON, LAVAL",10-20,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
